Genes,PN_VT_WT_acj6_B24,PN_VT_WT_acj6_C24,PN_VT_WT_acj6_D24,PN_VT_WT_acj6_E24,PN_VT_WT_acj6_F24,PN_VT_WT_acj6_G24
FBgn0031414,3543,4914,3704,13257,9129,8647
FBgn0031417,0,1,3,46,1,4
FBgn0031418,820,1131,1086,1254,1046,1085
FBgn0031419,125,323,194,344,312,241
FBgn0031420,372,468,377,453,415,456
FBgn0031422,105,113,211,219,188,237
FBgn0031423,0,0,2,0,0,2
FBgn0031424,993,1707,1843,1181,925,1161
FBgn0031426,0,0,0,0,2,0
FBgn0031428,214,146,84,159,157,284
FBgn0031430,0,0,0,0,0,0
FBgn0031431,0,0,0,1,0,0
FBgn0031432,4,0,7,3,0,0
FBgn0031434,221,418,325,280,189,387
FBgn0031435,74,0,1,150,115,44
FBgn0031436,4318,6279,5628,7578,5513,6845
FBgn0031437,2490,3753,2757,3795,3110,3262
FBgn0031440,0,2,4,12,0,0
FBgn0031441,0,0,0,1,0,0
FBgn0031442,0,0,0,0,0,0
FBgn0031443,0,1,0,0,0,0
FBgn0031444,0,0,0,1,0,0
FBgn0031446,0,0,2,0,10,6
FBgn0031449,0,18,19,13,103,40
FBgn0031450,1383,1924,1000,3818,6088,3556
FBgn0031451,102,35,68,88,5,53
FBgn0031452,149,154,194,117,162,323
FBgn0031453,16634,25268,19855,26424,19789,26652
FBgn0031454,0,0,0,0,0,0
FBgn0031455,0,0,0,0,0,0
FBgn0031456,495,737,234,625,302,408
FBgn0031457,4414,5750,3770,8784,6243,10403
FBgn0031458,3075,5227,2927,6279,3500,4116
FBgn0031459,6319,10609,8360,12567,8882,12371
FBgn0031460,4,9,16,8,15,8
FBgn0031461,39,27,28,38,19,8
FBgn0031462,0,0,0,0,4,0
FBgn0031463,1329,1974,1419,2115,1521,1594
FBgn0031465,0,1,1,5,1,4
FBgn0031466,0,0,0,2,4,0
FBgn0031467,0,0,0,0,0,0
FBgn0031468,0,0,0,0,1,0
FBgn0031469,0,0,0,0,0,0
FBgn0031470,2,0,0,0,3,0
FBgn0031471,0,0,0,0,0,0
FBgn0031472,0,10,0,0,0,3
FBgn0031473,3991,5249,3868,4231,6796,6163
FBgn0031474,3151,6014,4163,10008,10757,13492
FBgn0031476,0,0,0,0,6,0
FBgn0031478,4352,4344,3679,5600,4113,4226
FBgn0031479,776,842,692,715,918,1005
FBgn0031483,1807,1845,1335,2167,1520,1600
FBgn0031484,262,224,363,197,232,320
FBgn0031485,200,361,116,342,439,308
FBgn0031488,12,0,49,140,73,22
FBgn0031489,184,289,216,461,264,386
FBgn0031490,2,61,82,4,9,482
FBgn0031491,1510,1470,1177,1303,1044,1447
FBgn0031492,8940,9749,4881,4864,5765,5289
FBgn0031493,1408,1485,1333,1375,1541,1471
FBgn0031494,73,78,54,121,4,34
FBgn0031495,12618,15192,10399,15338,12103,13443
FBgn0031496,8,17,1,31,138,4
FBgn0031497,8699,10981,6950,8981,10085,11231
FBgn0031498,488,629,609,602,797,719
FBgn0031500,873,734,569,984,732,727
FBgn0031501,17,1,0,0,16,0
FBgn0031504,0,4,0,0,0,0
FBgn0031505,1483,2345,1649,2617,1884,2633
FBgn0031512,0,3,0,1,0,0
FBgn0031513,0,0,0,0,1,2
FBgn0031514,0,0,0,50,1,4
FBgn0031515,48,0,3,0,51,0
FBgn0031516,70,0,54,4,96,26
FBgn0031517,0,0,0,0,1,19
FBgn0031518,1,0,15,6,28,0
FBgn0031519,0,0,0,0,0,0
FBgn0031520,92,214,54,161,2,27
FBgn0031522,0,0,0,0,0,0
FBgn0031523,0,0,0,0,0,1
FBgn0031526,0,3,10,4,5,12
FBgn0031528,23,29,0,6,12,144
FBgn0031529,3544,5509,3913,5001,3067,5338
FBgn0031530,2557,3753,1888,7367,6088,6361
FBgn0031531,1,0,0,0,0,0
FBgn0031533,394,451,434,481,251,348
FBgn0031534,1771,2205,1154,2184,2568,3903
FBgn0031535,1158,1196,918,1128,1174,1768
FBgn0031536,784,827,210,452,380,478
FBgn0031538,426,568,563,363,451,1052
FBgn0031540,0,49,20,45,24,7
FBgn0031542,0,17,15,0,0,7
FBgn0031544,1909,2058,1218,2442,1285,1998
FBgn0031545,6,0,1,1,4,0
FBgn0031546,0,1,0,8,2,0
FBgn0031547,0,8,0,0,0,0
FBgn0031548,0,0,0,30,0,5
FBgn0031549,15,0,2,0,0,23
FBgn0031550,0,21,0,4,10,0
FBgn0031554,0,0,0,0,0,0
FBgn0031558,0,4,1,4,1,10
FBgn0031559,0,0,0,66,0,0
FBgn0031560,0,0,0,0,0,0
FBgn0031561,0,0,0,0,0,0
FBgn0031562,0,0,0,0,0,0
FBgn0031563,0,0,3,0,0,0
FBgn0031564,0,0,0,0,0,0
FBgn0031566,1820,2525,1760,2396,2624,1951
FBgn0031568,6587,10846,6546,17033,14236,13152
FBgn0031571,107,88,301,96,157,86
FBgn0031573,179,134,104,182,134,821
FBgn0031574,148,229,50,94,103,74
FBgn0031575,1671,1553,1233,1346,1249,1657
FBgn0031579,0,0,0,0,0,0
FBgn0031580,0,0,0,0,0,0
FBgn0031585,0,0,4,1,0,0
FBgn0031589,364,634,257,216,299,301
FBgn0031590,7582,9214,5286,6296,7513,7513
FBgn0031592,6,8,109,3,64,0
FBgn0031596,0,0,0,0,0,0
FBgn0031597,399,2171,1041,682,381,715
FBgn0031598,1129,1225,412,975,683,636
FBgn0031600,3585,5089,4033,4904,4292,4567
FBgn0031601,1476,2268,2148,2948,2261,2811
FBgn0031602,480,569,378,1796,1089,1047
FBgn0031603,370,591,473,857,541,574
FBgn0031604,521,595,462,740,1045,810
FBgn0031606,8580,11161,5295,6929,10365,11034
FBgn0031607,1543,1588,1185,1261,1448,1385
FBgn0031608,3733,4549,2730,7353,5350,7122
FBgn0031609,670,697,421,378,296,629
FBgn0031610,109,43,1,28,17,107
FBgn0031611,180,217,310,173,252,148
FBgn0031613,0,0,0,0,0,1
FBgn0031617,0,2,0,5,1,0
FBgn0031619,0,0,0,1,0,0
FBgn0031620,0,2,0,0,0,9
FBgn0031621,0,0,0,1,1,0
FBgn0031622,0,2,0,0,0,5
FBgn0031623,0,8,2,0,0,1
FBgn0031626,0,0,3,0,35,1
FBgn0031627,2207,2437,1636,3068,2679,2265
FBgn0031628,232,198,129,309,142,289
FBgn0031629,4,19,13,2,7,0
FBgn0031630,5,6,13,18,184,0
FBgn0031631,330,102,94,48,225,198
FBgn0031632,3000,3559,3132,4759,3143,4750
FBgn0031633,930,1522,1236,1376,1150,1445
FBgn0031634,20,79,33,147,48,80
FBgn0031635,1508,2375,1618,2915,1925,2152
FBgn0031636,3968,3838,3118,5644,3677,5104
FBgn0031637,730,558,483,550,651,601
FBgn0031638,661,732,841,1757,705,781
FBgn0031639,5780,8752,6191,8877,5955,7688
FBgn0031640,477,502,396,573,430,534
FBgn0031643,1185,1821,1177,2205,2089,1561
FBgn0031644,1,16,3,14,1,6
FBgn0031645,695,553,653,642,607,1108
FBgn0031646,26,2,0,0,0,2
FBgn0031649,1518,1162,678,2953,1833,3341
FBgn0031650,34,97,36,0,107,6
FBgn0031651,1903,3337,2550,2978,2222,2508
FBgn0031652,1053,878,876,1103,1225,1285
FBgn0031653,0,0,0,0,66,0
FBgn0031654,0,0,2,2,0,0
FBgn0031655,97,101,101,5,203,2
FBgn0031657,757,1402,1464,1033,1493,1054
FBgn0031659,2950,3810,2694,2955,2889,3013
FBgn0031660,2829,4865,3146,4086,2733,4914
FBgn0031661,2958,3370,2894,3845,3222,3235
FBgn0031662,15730,22949,15374,22452,19191,23755
FBgn0031663,941,1613,1182,1912,1929,1686
FBgn0031664,1667,2327,1765,1488,1864,1746
FBgn0031668,0,0,0,0,0,0
FBgn0031670,8710,11818,9357,13575,10640,13503
FBgn0031673,3569,3014,2520,4646,3432,4126
FBgn0031675,2570,2686,1835,2781,2430,2255
FBgn0031676,610,1373,492,1046,1475,1010
FBgn0031677,0,0,0,0,14,0
FBgn0031678,70,29,108,66,16,40
FBgn0031681,730,895,585,995,633,697
FBgn0031682,380,822,398,296,395,409
FBgn0031683,12417,14683,9486,11932,8712,12493
FBgn0031684,1579,2796,1902,2961,2145,2860
FBgn0031688,22,52,46,11,39,36
FBgn0031689,264,272,76,11,67,35
FBgn0031690,14,29,38,27,66,74
FBgn0031692,5,14,9,0,1,6
FBgn0031693,0,0,2,0,0,0
FBgn0031694,0,6,0,0,0,1
FBgn0031695,0,17,62,0,0,0
FBgn0031696,955,1069,784,804,1216,2752
FBgn0031697,4480,4564,3943,8061,5460,6130
FBgn0031698,875,1196,957,2094,2913,1581
FBgn0031700,3,7,2,19,5,8
FBgn0031701,1,3,0,1,0,0
FBgn0031702,40,118,2,13,87,48
FBgn0031703,0,0,2,0,0,0
FBgn0031707,1,6,22,0,19,13
FBgn0031708,2193,2796,2348,3457,2872,2950
FBgn0031710,1872,3343,1743,3389,2484,2420
FBgn0031711,1580,1574,1604,2950,2521,3166
FBgn0031713,1629,2092,1162,1221,1956,1543
FBgn0031715,5,4,33,26,9,1
FBgn0031716,7384,8645,5681,5785,6483,6990
FBgn0031717,1156,2112,1305,2351,1874,2339
FBgn0031718,0,0,0,0,0,1
FBgn0031719,0,0,0,0,0,0
FBgn0031720,0,0,0,0,1,0
FBgn0031721,0,0,0,0,0,0
FBgn0031722,0,0,0,4,1,174
FBgn0031723,11,1,7,1,45,8
FBgn0031724,0,0,0,0,112,0
FBgn0031725,1240,1184,455,1505,1451,1472
FBgn0031726,26,218,61,20,0,4
FBgn0031728,0,23,44,18,14,33
FBgn0031729,7,0,0,0,0,0
FBgn0031730,23,66,78,0,1,17
FBgn0031731,0,3,0,1,0,0
FBgn0031732,0,151,1,0,0,2
FBgn0031733,35,42,110,157,52,106
FBgn0031734,7,40,55,14,44,30
FBgn0031735,3,90,0,24,60,33
FBgn0031736,10116,12409,7361,23381,16598,17910
FBgn0031737,45,129,23,120,141,132
FBgn0031738,261,337,186,93,272,75
FBgn0031739,633,758,748,817,810,621
FBgn0031740,363,374,363,526,242,588
FBgn0031741,2,41,0,187,2,15
FBgn0031745,281,936,164,8,187,581
FBgn0031746,0,0,0,0,0,0
FBgn0031747,0,1,0,0,0,0
FBgn0031749,4,0,0,21,1,1
FBgn0031751,50,167,86,40,133,47
FBgn0031752,298,574,355,647,442,547
FBgn0031753,1347,2014,1533,1894,1253,1641
FBgn0031756,0,5,2,671,130,59
FBgn0031757,0,5,0,72,0,4
FBgn0031758,0,0,0,0,0,0
FBgn0031759,13406,16836,13536,29432,25148,26806
FBgn0031760,979,1974,1105,2649,1540,1293
FBgn0031762,45506,53014,35358,59730,58648,66482
FBgn0031763,0,0,0,0,36,0
FBgn0031764,753,968,612,733,792,819
FBgn0031765,644,705,1153,2301,1544,2404
FBgn0031766,128,143,115,95,119,103
FBgn0031768,876,829,479,896,859,1018
FBgn0031769,6097,6494,3063,5608,5554,6968
FBgn0031770,4634,5122,2129,7354,7694,6520
FBgn0031771,16763,19576,14717,18922,15167,19692
FBgn0031772,879,1632,1277,1747,1158,1785
FBgn0031773,370,154,237,404,328,234
FBgn0031774,1872,2786,2073,2871,2377,3206
FBgn0031775,0,0,132,2,0,105
FBgn0031776,1017,1161,1290,1664,1218,1417
FBgn0031777,212,333,208,373,218,271
FBgn0031778,1,0,1,1,45,78
FBgn0031779,1867,2985,1952,2963,2403,2137
FBgn0031781,3309,4838,4112,4948,4173,5322
FBgn0031782,905,1068,904,994,1042,976
FBgn0031784,0,0,0,32,0,0
FBgn0031785,1,3,7,52,1,50
FBgn0031786,0,12,0,1,0,0
FBgn0031791,27,136,0,2,9,163
FBgn0031792,1,2,0,0,0,0
FBgn0031799,70,3,35,15,19,23
FBgn0031800,0,0,0,8,0,0
FBgn0031801,0,0,0,2,1,0
FBgn0031802,0,0,0,2,0,0
FBgn0031803,0,0,1,0,0,0
FBgn0031804,1,0,0,1,0,0
FBgn0031805,6,0,0,98,11,0
FBgn0031808,1,1,1,6,1,46
FBgn0031811,254,129,148,210,359,437
FBgn0031813,1377,1447,1038,1471,1346,1721
FBgn0031814,894,830,551,1046,642,1159
FBgn0031815,1929,2322,1532,1517,1965,1883
FBgn0031816,454,825,510,370,541,462
FBgn0031817,8995,11340,8778,13141,9459,12538
FBgn0031818,3264,5870,4172,8005,8915,9190
FBgn0031820,920,2187,937,3089,1742,2968
FBgn0031821,910,504,815,936,812,1053
FBgn0031822,1838,3178,2722,4593,2628,3372
FBgn0031824,32,0,39,85,34,0
FBgn0031826,0,22,1,0,0,0
FBgn0031829,0,0,0,0,1,0
FBgn0031830,8875,13471,11051,17217,11406,15669
FBgn0031831,0,0,0,0,0,0
FBgn0031832,202,154,97,190,145,468
FBgn0031834,707,724,629,990,585,1754
FBgn0031835,522,568,433,1608,808,1162
FBgn0031836,3372,3805,2182,3002,2953,3013
FBgn0031837,2,180,46,47,28,40
FBgn0031842,2603,3246,1552,1975,2039,2066
FBgn0031844,0,0,0,5,15,0
FBgn0031848,106,19,59,10,43,62
FBgn0031849,0,0,0,0,0,35
FBgn0031850,10,105,0,17,86,76
FBgn0031851,850,816,595,658,979,1063
FBgn0031853,59,0,21,7,4,284
FBgn0031854,24,227,99,42,0,70
FBgn0031855,2242,2302,1358,2351,2296,2452
FBgn0031856,1,24,23,0,1,223
FBgn0031857,5,10,50,90,222,10
FBgn0031858,128,497,154,174,215,231
FBgn0031859,0,1,0,0,0,0
FBgn0031860,0,0,0,0,0,1
FBgn0031861,0,0,0,0,1,0
FBgn0031865,122,234,136,46,260,129
FBgn0031866,9722,14264,9335,15928,16074,17031
FBgn0031868,602,779,542,971,458,648
FBgn0031869,2,18,1,4,3,2
FBgn0031871,2043,2472,1443,2753,2071,2251
FBgn0031872,156,14,63,108,65,6
FBgn0031873,453,775,555,845,802,784
FBgn0031874,170,269,148,210,174,129
FBgn0031875,1505,1672,1207,2282,1328,1459
FBgn0031876,143,122,128,181,46,170
FBgn0031877,56,59,118,0,19,45
FBgn0031878,44,0,57,0,210,1
FBgn0031879,1,277,25,35,19,15
FBgn0031881,220,699,264,339,434,726
FBgn0031882,819,791,490,924,459,722
FBgn0031883,1394,1971,1273,2183,1732,2539
FBgn0031885,280,424,293,327,232,247
FBgn0031886,23,96,60,33,78,17
FBgn0031887,0,0,0,1,0,4
FBgn0031888,7,0,4,66,0,31
FBgn0031893,581,652,395,964,719,842
FBgn0031894,60,34,14,74,39,65
FBgn0031895,613,743,481,527,636,678
FBgn0031896,2183,2511,2010,1651,1005,1937
FBgn0031897,2256,2350,1348,3915,2095,2844
FBgn0031900,6,0,2,17,0,0
FBgn0031902,0,0,1,0,2,0
FBgn0031903,53,5,48,3,0,4
FBgn0031904,918,1092,355,572,786,691
FBgn0031905,0,0,0,0,47,0
FBgn0031906,43,84,29,25,123,38
FBgn0031907,0,64,7,0,21,0
FBgn0031908,40,54,15,5,42,13
FBgn0031909,1649,1960,1528,1868,2122,2337
FBgn0031910,0,2,0,0,0,0
FBgn0031913,0,33,1,0,22,0
FBgn0031914,138,196,190,182,358,135
FBgn0031918,12,24,94,115,130,130
FBgn0031920,2,20,55,3,0,7
FBgn0031925,0,1,0,3,22,0
FBgn0031926,76,16,0,0,0,25
FBgn0031929,0,0,3,0,0,0
FBgn0031930,0,0,0,0,0,6
FBgn0031935,0,0,0,0,0,0
FBgn0031936,0,0,0,1,0,0
FBgn0031937,0,1,0,3,1,10
FBgn0031939,189,192,52,521,267,137
FBgn0031940,0,0,0,0,22,0
FBgn0031941,0,0,0,0,0,0
FBgn0031942,0,0,0,0,0,0
FBgn0031945,698,135,784,318,221,521
FBgn0031946,0,0,0,0,0,0
FBgn0031947,2534,3966,1875,3585,2345,2821
FBgn0031948,348,392,185,215,187,540
FBgn0031950,1567,2689,1640,2455,2148,3320
FBgn0031951,1569,2254,1280,1813,1470,1570
FBgn0031952,529,520,267,395,447,620
FBgn0031954,0,0,3,0,0,1
FBgn0031955,8578,11594,9944,13675,14821,19265
FBgn0031957,7,0,0,0,1,30
FBgn0031959,5,64,1,47,54,53
FBgn0031961,26,107,116,0,53,194
FBgn0031968,6067,6358,5218,5798,4878,5850
FBgn0031969,117,108,72,139,51,113
FBgn0031970,0,8,1,0,1,4
FBgn0031971,428,1183,827,896,1162,1652
FBgn0031972,1271,2151,1371,1938,1365,1333
FBgn0031973,0,3,3,0,16,2
FBgn0031974,5,28,27,4,7,11
FBgn0031975,1,10,3,7,5,39
FBgn0031976,0,0,0,0,0,1
FBgn0031977,600,939,619,1113,820,898
FBgn0031979,144,227,186,458,318,289
FBgn0031980,2518,4015,2963,4837,3616,4244
FBgn0031981,3244,3425,2386,4299,5348,4130
FBgn0031985,527,795,552,1257,547,1516
FBgn0031986,3305,4873,2890,4077,3333,4345
FBgn0031987,1383,1751,1588,1718,1310,2586
FBgn0031988,591,1186,805,1423,1056,2181
FBgn0031990,1518,2205,1598,2405,2559,2551
FBgn0031992,4672,7595,6106,9171,6210,9208
FBgn0031995,594,565,653,1118,419,1065
FBgn0031996,3433,4534,2789,4178,3567,4571
FBgn0031997,814,1629,831,1289,979,999
FBgn0031998,219,332,35,223,139,19
FBgn0031999,1,22,5,1,34,229
FBgn0032000,3629,4344,4026,6331,3955,5013
FBgn0032001,1994,3287,2474,3523,2682,2711
FBgn0032002,118,109,68,100,94,112
FBgn0032003,20,5,15,16,16,66
FBgn0032004,5,50,32,30,38,45
FBgn0032005,1988,2700,1423,1904,2045,2752
FBgn0032006,55,2,31,108,123,81
FBgn0032008,2,3,0,0,0,0
FBgn0032010,652,352,245,677,774,916
FBgn0032013,7134,9340,5502,8728,8466,7634
FBgn0032014,2292,2070,1862,2502,2139,3389
FBgn0032015,4525,5804,3531,6299,4614,6118
FBgn0032016,1037,1750,1248,1212,1472,1441
FBgn0032017,876,1150,705,1060,755,914
FBgn0032018,560,725,431,1387,1091,922
FBgn0032020,1008,1754,1295,1826,1723,2093
FBgn0032021,8766,11956,7216,6502,3938,6114
FBgn0032022,339,643,399,552,204,459
FBgn0032023,122,235,202,167,216,163
FBgn0032024,3,0,0,0,0,16
FBgn0032025,1,24,0,1,6,0
FBgn0032026,691,465,260,702,597,688
FBgn0032029,52,29,2,5,2,147
FBgn0032030,1119,1297,788,1450,1153,1396
FBgn0032031,1177,1813,1111,1645,2063,1417
FBgn0032032,2850,4520,2912,5023,3605,4061
FBgn0032033,289,225,455,714,570,667
FBgn0032034,3296,5150,3944,4419,3247,4584
FBgn0032036,1065,811,930,788,1107,1595
FBgn0032039,2,0,0,0,3,0
FBgn0032040,2,0,0,9,0,1
FBgn0032042,1486,2075,814,1954,1586,1632
FBgn0032047,126,115,59,2,56,140
FBgn0032048,620,689,689,724,644,995
FBgn0032049,2,1,0,2,8,31
FBgn0032050,1261,1509,795,1014,1016,947
FBgn0032051,230,208,171,192,258,465
FBgn0032052,4187,5529,3992,7953,5290,6179
FBgn0032053,460,615,496,770,504,461
FBgn0032054,3211,4020,1708,4447,3060,5413
FBgn0032055,6,3,10,0,7,20
FBgn0032057,2,0,0,0,0,0
FBgn0032058,0,18,1,0,0,4
FBgn0032059,2232,3207,2295,3397,2493,3205
FBgn0032061,52,0,0,122,1,0
FBgn0032065,4,0,0,0,0,0
FBgn0032066,0,0,4,0,0,1
FBgn0032067,2,0,1,2,1,2
FBgn0032068,0,73,1,2,1,0
FBgn0032069,0,1,0,0,0,0
FBgn0032072,0,1,0,0,0,0
FBgn0032074,0,0,13,0,0,0
FBgn0032075,406,256,433,171,178,80
FBgn0032076,0,6,8,11,14,35
FBgn0032077,493,638,465,546,509,916
FBgn0032078,2219,3147,1616,2720,1314,2459
FBgn0032079,101,97,40,32,44,104
FBgn0032080,1,0,0,1,1,0
FBgn0032082,0,1,0,0,3,0
FBgn0032083,111,265,61,71,8,52
FBgn0032084,1,2,2,0,1,65
FBgn0032085,0,1,3,5,2,0
FBgn0032086,0,0,0,0,0,0
FBgn0032087,10,0,4,0,0,0
FBgn0032088,0,0,0,1,0,2
FBgn0032089,0,0,0,0,0,0
FBgn0032090,0,0,0,2,55,16
FBgn0032094,0,0,0,0,0,0
FBgn0032095,0,16,0,0,0,3
FBgn0032096,0,0,0,0,0,0
FBgn0032100,1302,1999,1348,1452,1382,1601
FBgn0032101,498,694,469,688,489,595
FBgn0032104,0,0,0,8,1,1
FBgn0032105,112,191,167,191,28,47
FBgn0032109,40,4,0,21,5,64
FBgn0032110,0,0,0,3,18,0
FBgn0032111,0,0,0,0,0,0
FBgn0032115,0,0,2,0,0,0
FBgn0032116,1,26,0,0,32,6
FBgn0032117,81,257,136,226,267,371
FBgn0032119,0,0,0,34,3,21
FBgn0032120,206,212,166,241,164,158
FBgn0032122,9,11,0,0,0,0
FBgn0032123,691,949,403,1414,702,1237
FBgn0032124,0,2,5,3,0,1
FBgn0032125,9,23,0,29,10,16
FBgn0032126,8,0,0,6,0,0
FBgn0032127,0,0,0,5,0,0
FBgn0032129,158,315,136,360,68,196
FBgn0032130,273,675,181,277,302,553
FBgn0032131,2,1,0,19,11,3
FBgn0032132,0,4,0,84,1,0
FBgn0032135,3124,2609,1496,2791,2059,2422
FBgn0032136,1004,1116,901,2062,1404,965
FBgn0032138,1991,2538,1632,1901,3167,2122
FBgn0032139,6,14,13,50,26,21
FBgn0032140,86,288,121,254,137,212
FBgn0032143,23,250,3,55,481,27
FBgn0032144,30,1,0,1,0,2
FBgn0032147,110,109,34,58,46,51
FBgn0032149,808,685,762,1253,1050,877
FBgn0032150,40,203,40,112,35,31
FBgn0032151,3050,4355,3623,6160,3986,6647
FBgn0032153,39,60,43,49,24,75
FBgn0032154,32,39,119,130,41,0
FBgn0032156,75,202,225,289,179,262
FBgn0032157,1549,1818,971,1973,1881,989
FBgn0032160,409,670,633,685,534,580
FBgn0032161,0,0,0,0,18,0
FBgn0032162,54,0,10,0,33,2
FBgn0032163,0,0,2,16,0,0
FBgn0032166,1479,1696,1245,2307,1852,1853
FBgn0032167,0,0,0,0,0,278
FBgn0032168,879,1094,1167,1394,793,1681
FBgn0032169,590,559,662,503,535,709
FBgn0032170,1169,1589,1165,1383,1271,1113
FBgn0032171,257,276,320,204,233,209
FBgn0032172,662,1182,1144,1409,1254,1997
FBgn0032175,2,0,1,1,4,3
FBgn0032176,7,2,0,0,3,4
FBgn0032178,35,45,17,0,0,17
FBgn0032181,9,19,21,0,2,46
FBgn0032184,5,47,53,6,0,0
FBgn0032187,76,64,86,52,63,121
FBgn0032188,31,12,55,30,27,21
FBgn0032189,303,204,239,301,148,530
FBgn0032191,3187,3246,2601,2855,1860,2248
FBgn0032192,6,3,18,9,12,0
FBgn0032193,486,799,547,784,697,633
FBgn0032194,1603,2491,1866,2512,1744,704
FBgn0032195,627,698,661,1034,619,474
FBgn0032196,1281,1683,1061,1215,950,1301
FBgn0032197,1074,1388,873,612,320,677
FBgn0032198,1962,2314,1970,2422,2142,2277
FBgn0032200,2645,4048,3485,6273,3688,5517
FBgn0032202,420,628,534,848,518,773
FBgn0032204,301,620,356,420,204,735
FBgn0032205,429,411,329,523,550,372
FBgn0032208,5617,5708,4685,8388,5939,7047
FBgn0032209,1,0,0,0,0,0
FBgn0032210,146,191,98,455,239,477
FBgn0032211,24,19,25,37,47,8
FBgn0032213,215,162,367,114,191,286
FBgn0032214,3076,4706,2885,4110,2849,3779
FBgn0032216,2186,1998,1578,2880,2434,2868
FBgn0032217,2048,3119,2507,3599,2055,2643
FBgn0032218,1,45,60,14,7,8
FBgn0032219,19,83,0,107,3,0
FBgn0032221,2975,4056,2467,5004,3333,3631
FBgn0032222,1227,1656,1105,1841,1682,1518
FBgn0032223,940,1274,1168,1587,982,1559
FBgn0032224,115,167,141,308,111,137
FBgn0032225,3296,4294,2880,3755,3333,4122
FBgn0032228,5,1,0,0,7,0
FBgn0032229,4357,4560,4720,5160,4128,5190
FBgn0032230,22,51,50,3,9,16
FBgn0032231,661,1159,765,605,592,1021
FBgn0032233,7588,7185,4441,7641,4152,6924
FBgn0032234,281,207,359,151,295,420
FBgn0032235,0,0,4,1,2,34
FBgn0032236,811,1301,999,1670,724,1357
FBgn0032240,0,0,0,0,0,0
FBgn0032242,10533,9666,8003,18472,13483,16697
FBgn0032243,88,315,129,126,22,821
FBgn0032244,191,209,218,249,187,178
FBgn0032246,7040,8886,5700,8240,5987,7912
FBgn0032247,382,706,315,373,322,580
FBgn0032248,1815,2385,1991,2808,2335,3148
FBgn0032249,1952,2027,1219,2286,2061,1567
FBgn0032250,637,823,400,1026,370,795
FBgn0032251,437,694,452,749,260,479
FBgn0032252,57,5,10,4,41,6
FBgn0032253,0,1,0,0,0,9
FBgn0032256,249,711,301,837,404,419
FBgn0032258,658,739,463,554,493,588
FBgn0032259,2924,3284,2198,2487,2429,3382
FBgn0032260,11,20,57,20,9,74
FBgn0032261,956,1750,1392,1488,1105,1922
FBgn0032262,14,111,62,226,1,8
FBgn0032264,570,947,395,331,270,378
FBgn0032265,0,0,0,0,0,0
FBgn0032266,0,0,0,0,0,15
FBgn0032268,2,1,0,3,0,0
FBgn0032269,0,0,9,2,5,0
FBgn0032271,69,35,2,2,56,0
FBgn0032276,14,6,0,571,26,128
FBgn0032280,0,0,0,0,0,0
FBgn0032281,0,0,0,0,0,0
FBgn0032282,0,0,0,0,0,0
FBgn0032283,0,0,0,1,0,0
FBgn0032284,0,0,0,0,0,0
FBgn0032285,6,19,0,0,0,0
FBgn0032286,0,0,0,0,0,0
FBgn0032287,0,0,0,0,9,53
FBgn0032289,0,0,0,51,0,0
FBgn0032290,1402,2299,1917,2355,2112,1974
FBgn0032291,0,3,0,1,1,83
FBgn0032292,5787,8090,5609,9439,7075,8889
FBgn0032293,859,1326,1140,1472,990,1450
FBgn0032294,10,0,10,6,0,0
FBgn0032295,3246,3150,1439,3729,4082,6136
FBgn0032296,348,516,202,197,414,229
FBgn0032297,16201,20353,13126,27373,19297,26024
FBgn0032298,760,1124,488,1032,816,1330
FBgn0032299,0,8,0,0,0,4
FBgn0032303,0,2,0,1,4,88
FBgn0032304,0,0,2,13,36,263
FBgn0032305,1184,1985,994,1448,785,1486
FBgn0032311,0,13,0,0,0,0
FBgn0032312,7,0,10,9,0,18
FBgn0032313,0,1,0,2,0,26
FBgn0032314,0,0,6,0,0,0
FBgn0032315,0,0,0,1,0,0
FBgn0032318,3,14,8,2,2,0
FBgn0032321,668,879,502,654,711,691
FBgn0032322,17,17,0,34,18,14
FBgn0032329,30,34,21,19,42,6
FBgn0032330,29,162,45,13,48,12
FBgn0032331,1,0,0,1,6,37
FBgn0032335,0,5,1,0,0,0
FBgn0032336,1382,1154,1343,582,223,134
FBgn0032337,222,359,313,143,170,626
FBgn0032338,10104,15898,7541,37420,38499,42596
FBgn0032339,356,877,328,2337,830,2059
FBgn0032340,919,1718,1051,1758,1183,1443
FBgn0032341,197,246,641,265,88,244
FBgn0032343,4752,6276,4187,7483,4109,5948
FBgn0032345,1096,2291,1431,1934,1408,2126
FBgn0032346,850,1070,774,1256,1024,965
FBgn0032348,1297,926,1491,2302,1812,1688
FBgn0032350,117,150,87,185,116,94
FBgn0032354,530,435,413,457,568,872
FBgn0032358,1343,1862,1108,1257,1724,1951
FBgn0032359,3,0,0,0,1,0
FBgn0032360,0,0,0,0,3,0
FBgn0032361,820,849,565,1698,888,1202
FBgn0032362,2,0,0,2,0,69
FBgn0032363,318,443,135,224,110,109
FBgn0032364,0,0,2,2,0,0
FBgn0032365,0,0,0,1,1,0
FBgn0032366,0,0,0,0,0,0
FBgn0032368,3,1,1,1,5,9
FBgn0032369,6,0,1,0,0,3
FBgn0032370,0,0,0,0,0,0
FBgn0032371,0,0,0,0,8,1
FBgn0032372,0,0,44,0,0,6
FBgn0032373,0,0,1,1,1,0
