,NAME,ensembl,htseqout_filter_B24,htseqout_filter_C24,htseqout_filter_D24,htseqout_filter_E24,htseqout_filter_F24,htseqout_filter_G24
0,a,FBgn0000008,-1.252189492,3.041422062,1.927166025,0.248023002,-0.579761743,-0.27939331
1,Abl,FBgn0000017,8.324810003,7.817624605,8.490435065,8.409869457,8.489552095,8.389468072
2,abo,FBgn0000018,3.510058162,3.865157811,3.454978742,4.068635137,2.707914275,1.462064766
3,Ace,FBgn0000024,10.47314529,10.51654791,10.49407399,11.09548974,11.08658905,10.95068791
4,acj6,FBgn0000028,7.156601824,7.144360468,7.304572303,8.120812999,7.967646097,7.841374933
5,Acph-1,FBgn0000032,5.375875969,5.868889055,5.210683403,5.358427464,5.25612634,5.078456009
6,nAChRalpha1,FBgn0000036,5.634402662,6.060732813,5.978589745,5.42741062,5.110309425,5.440175858
7,mAChR-A,FBgn0000037,8.907479217,8.609097766,8.502516454,8.611671369,8.84750444,8.699050192
8,nAChRbeta1,FBgn0000038,11.85810271,12.04938026,12.14914308,12.29981496,12.32221401,12.25817064
9,nAChRalpha2,FBgn0000039,7.984501761,7.728823508,7.627620862,7.677467122,7.838487837,7.791416535
10,Act5C,FBgn0000042,12.94426767,12.93679651,12.98732587,13.1349359,13.13534745,12.99097684
11,Act42A,FBgn0000043,12.76624457,12.82162996,12.87537264,12.64501336,12.67241066,12.665165
12,Act87E,FBgn0000046,2.919984058,3.248061111,2.388376758,3.238636845,2.517235625,2.040872701
13,ade2,FBgn0000052,-3.349234113,0.143841603,2.226063042,-1.853577458,-0.654333047,1.053155688
14,ade3,FBgn0000053,3.352383865,4.150238223,2.238282343,2.409607774,2.482853588,1.07194261
15,Adf1,FBgn0000054,9.024881929,9.428099413,9.154718774,10.16558485,10.29916159,10.14279204
16,adp,FBgn0000057,5.678364323,5.679639583,5.369095664,5.272043449,4.574373179,4.785925152
17,Mps1,FBgn0000063,1.455804512,3.239479084,2.137501208,2.807580181,2.978555918,3.324378066
18,Ald,FBgn0000064,10.04421647,10.19931006,10.29916131,10.27917808,10.3274796,10.15361504
19,Ama,FBgn0000071,4.069532808,4.934303955,4.786608954,3.806673048,4.819660803,3.437354037
20,amx,FBgn0000077,5.116746885,5.408208613,4.969976209,4.187947131,4.133837635,4.83211578
21,AnxB9,FBgn0000083,3.169618946,3.712291038,2.137501208,3.282990199,3.93836087,3.760517783
22,AnxB10,FBgn0000084,6.812066493,6.514637893,6.808950759,6.712777,6.84375768,6.681656487
23,aop,FBgn0000097,5.712200528,5.475531021,5.272886825,5.634540501,5.458780378,5.947057223
24,RpLP0,FBgn0000100,9.740857785,9.745131033,9.768845405,9.71818802,9.705117522,9.798621436
25,Appl,FBgn0000108,8.853765371,8.936113149,8.687113863,8.639075056,8.602197438,8.699710948
26,Aprt,FBgn0000109,3.48724794,3.290221781,3.878410742,2.686723469,2.456518428,3.235517464
27,aret,FBgn0000114,4.335254436,4.283528832,3.66869361,4.017048593,3.596351638,2.743900879
28,Arl1,FBgn0000115,5.296751597,5.507156186,5.630145132,5.490668782,5.32930913,5.541379929
29,Argk,FBgn0000116,9.526376115,9.550882876,9.690482975,9.361490342,9.529259008,9.364308891
30,arm,FBgn0000117,10.87148297,10.45211384,10.31533739,10.85432693,11.11646378,10.74420132
31,arr,FBgn0000119,4.141421095,3.491558906,4.539942321,4.917830826,4.811025513,4.962426442
32,ash2,FBgn0000139,6.413417345,5.881354731,5.570989036,5.345177124,6.069729217,5.264511038
33,aub,FBgn0000146,3.163876761,1.908143235,1.509951068,1.747430421,0.805406244,1.296217381
34,aurA,FBgn0000147,2.94698324,3.080388002,3.585053902,3.57982157,2.990842047,1.090488029
35,awd,FBgn0000150,8.020891493,8.491147998,8.695724035,8.629933167,8.466642711,8.491659119
36,Axs,FBgn0000152,1.581734324,2.20997439,3.608777698,3.158660348,3.452744769,4.947243948
37,Dll,FBgn0000157,3.037689454,0.529009919,0.618033949,0.716345841,1.481555366,1.558469726
38,baz,FBgn0000163,0.80098932,3.294370868,1.644578948,0.974162084,2.508716628,1.034120889
39,ben,FBgn0000173,7.02381597,7.3404416,7.444959518,7.4267401,7.250212764,7.328435513
40,bi,FBgn0000179,2.023461092,3.484313066,3.806374582,2.129492369,4.006505414,2.761367585
41,bib,FBgn0000180,7.167403872,7.850577643,7.519757779,7.106626413,7.8312465,7.427722247
42,bic,FBgn0000181,7.346318905,7.39989484,7.403173916,7.626742117,7.227679505,7.582928527
43,BicD,FBgn0000183,5.865113629,5.342607544,6.053975045,6.00145598,6.047846029,5.454564317
44,brm,FBgn0000212,6.49572001,6.349495882,6.243964031,5.747482244,6.227306629,5.931711256
45,brn,FBgn0000221,3.914026074,4.010951245,3.178867644,2.877620213,4.139366789,3.466044378
46,Bsg25D,FBgn0000228,3.751243601,2.912392418,2.377369446,2.111717141,3.500787973,2.253295064
47,bsk,FBgn0000229,8.779904079,8.71348855,8.715525781,8.491066324,8.406436032,8.47035428
48,btd,FBgn0000233,-0.01203022,1.176324414,-4.002720471,1.41199562,1.645954032,2.069199962
49,bur,FBgn0000239,5.602918599,5.818640861,5.245907663,5.373423177,5.273830657,5.275696403
50,bw,FBgn0000241,2.168158625,2.165364497,-0.51643803,2.303994933,3.421317233,3.903723289
51,by,FBgn0000244,0.270412883,-1.043938746,1.927166025,0.913897529,-0.654333047,-0.857381522
52,ca,FBgn0000247,7.043103386,7.451431777,7.000919304,7.952368219,7.723556696,7.737277272
53,cact,FBgn0000250,5.896615817,5.102275746,5.55886107,5.484638983,5.879651908,5.352616626
54,Cam,FBgn0000253,9.880393883,9.972405843,10.10780172,9.584475854,9.573902675,9.803152435
55,capu,FBgn0000256,2.371170639,2.980925827,2.201309502,3.510293172,3.283292015,3.378202787
56,car,FBgn0000257,5.459114391,5.851394963,4.819512584,5.300763053,4.732719907,4.805702077
57,CkIIbeta,FBgn0000259,8.675186791,8.603779055,8.840640425,8.840439189,8.760482587,8.757247707
58,Cat,FBgn0000261,5.517691768,5.631255315,5.62200787,6.575248735,5.993931045,5.946421056
59,Pka-C1,FBgn0000273,8.510184811,8.185401761,8.171798344,7.653287826,7.653315186,7.485573644
60,Cp190,FBgn0000283,5.290177418,5.096347085,5.044931996,4.559757564,4.003476773,3.343832513
61,Cf2,FBgn0000286,4.732462718,4.399774231,3.810472363,4.157949207,4.065780161,3.620781321
62,salr,FBgn0000287,6.4061394,6.327394528,6.419888704,6.371403851,6.592851842,6.478394899
63,cg,FBgn0000289,9.230979751,9.120923902,9.043679948,9.129304415,8.837441069,8.916520666
64,Cg25C,FBgn0000299,3.062591462,1.83026955,1.626098623,4.296175208,1.848565445,2.078520115
65,ChAT,FBgn0000303,6.221527874,5.837245329,6.063449112,6.327802103,5.663556961,6.424138258
66,chif,FBgn0000307,4.860457378,5.089200381,4.487161124,5.155426203,5.03814887,5.238762538
67,chic,FBgn0000308,11.09715596,11.18418823,11.17604822,10.85676752,10.87798949,10.87700898
68,cin,FBgn0000316,5.535589423,5.524038172,5.490271152,5.053202312,5.204311498,5.326451929
69,cl,FBgn0000318,6.513326223,6.864983847,7.024923527,6.925804683,6.877233833,7.037262009
70,Chc,FBgn0000319,6.405531244,6.519962784,5.938898692,6.579700466,6.602391682,6.359182982
71,clt,FBgn0000326,5.739481833,5.681224775,5.566150077,5.680482075,6.149983664,5.0538599
72,cm,FBgn0000330,6.252970132,6.449157361,6.373556443,5.948615996,6.714058568,5.631996726
73,cni,FBgn0000339,6.765429794,6.887130538,6.983331116,6.942241044,6.772158156,7.018317656
74,comt,FBgn0000346,3.567730117,3.54128571,3.407073909,4.229747401,4.077348371,2.930460543
75,cort,FBgn0000351,2.073323628,1.771954001,-4.002720471,-1.19281754,0.461404513,2.431159855
76,cos,FBgn0000352,6.140517988,5.655650275,5.545401485,6.761682566,7.080601175,6.597851212
77,Cp38,FBgn0000360,1.094551379,2.042478857,3.618159051,3.154325695,-2.94572131,3.359209367
78,crc,FBgn0000370,8.162238826,7.863550954,7.986601679,7.816834654,7.980217669,7.886679732
79,crm,FBgn0000376,4.666986726,5.545954536,4.205352192,5.856229367,4.576412754,5.226238101
80,crn,FBgn0000377,4.691141394,4.324680109,4.071754612,3.633751062,4.330337795,4.031591342
81,csw,FBgn0000382,5.696376414,5.836534192,5.477442181,6.070369952,5.261206925,6.132425837
82,cta,FBgn0000384,5.457941702,4.816633109,4.724988408,5.453224129,5.731941679,6.07596074
83,cv-2,FBgn0000395,4.755554173,4.360738639,4.458723424,5.237627554,5.268794411,6.169422967
84,CycA,FBgn0000404,4.126736909,3.687266112,3.905481336,3.820417594,3.425849014,3.814505081
85,Cyt-c-p,FBgn0000409,7.826735216,8.080742666,8.417253989,8.041323477,7.798858267,7.917680897
86,D,FBgn0000411,5.375875969,5.425336019,5.853105843,5.468144198,6.482982774,7.07732886
87,D1,FBgn0000412,8.810087703,8.668544251,8.798840755,8.694049385,8.787034607,8.683577809
88,Dab,FBgn0000414,7.181326695,7.485853147,7.133174264,7.60387716,7.823539378,7.711674183
89,Sap-r,FBgn0000416,8.800636251,8.224929317,8.391669617,8.865349416,8.215649751,8.390988447
90,Ddc,FBgn0000422,4.598397277,4.94490023,4.771974226,4.631681213,3.584239981,3.646076122
91,SmF,FBgn0000426,5.452063916,5.86680093,5.992182501,6.002662081,5.750125041,5.709778769
92,Dhod,FBgn0000447,6.204847086,6.283715421,6.58626539,6.148725736,6.2376539,5.924622761
93,Hr46,FBgn0000448,6.747304919,6.752241833,6.866664899,5.010674212,5.172305144,5.010694296
94,ect,FBgn0000451,0.039052451,0.96353461,1.529970024,-1.598211633,2.534124177,3.501123118
95,Dip-B,FBgn0000454,9.124696436,9.126679909,8.941823425,9.251712741,9.401781599,9.189988602
96,Dip-C,FBgn0000455,5.847310543,5.119916934,6.065165005,6.002059157,5.722763328,5.662530372
97,disco,FBgn0000459,0.80098932,0.500561402,0.793900192,0.974162084,0.232232106,2.021674061
98,Dl,FBgn0000463,1.474481571,-0.551682834,-1.119265301,-0.807427943,0.912617892,0.893344034
99,Lar,FBgn0000464,5.859795733,6.221343998,6.313466907,6.111757401,5.645213494,5.820849311
100,Cyp6a2,FBgn0000473,3.372439355,4.973644963,4.36431976,4.276366597,4.802338225,3.521768122
101,DNaseII,FBgn0000477,1.83397494,3.094733106,2.420903596,2.445528207,3.370504862,2.878049092
102,dnc,FBgn0000479,8.626437019,8.513009616,8.488518195,8.931279053,8.843699208,8.968439002
103,dor,FBgn0000482,4.63621333,4.287697184,3.773166453,3.618097635,3.322705523,3.808916413
104,Pka-C3,FBgn0000489,5.315001505,5.458992643,5.579418355,5.684245311,5.557073454,5.418320476
105,Dr,FBgn0000492,1.904539677,0.411686699,-0.155102255,-0.807427943,2.79456663,0.535555941
106,dsh,FBgn0000499,0.830286418,1.760002598,1.037109421,1.627465004,3.263173985,1.802970944
107,Dsk,FBgn0000500,1.2326139,1.024749172,1.529970024,0.668513508,3.147211663,2.133210935
108,dwg,FBgn0000520,5.887933985,6.233819848,5.7922479,5.507759199,5.410436862,5.616084139
109,dx,FBgn0000524,3.724185896,3.977796936,4.720640106,5.235577293,6.122329762,5.23355723
110,bsh,FBgn0000529,-1.852879522,-0.61252879,0.618033949,1.105699939,1.193405659,1.389033562
111,ea,FBgn0000533,3.843935231,3.454960208,3.673201083,2.802048973,3.113898108,3.652331129
112,eag,FBgn0000535,4.506102966,4.787493066,3.874501713,4.242054911,4.788328831,3.806113939
113,eas,FBgn0000536,5.965077113,5.766579202,5.645136492,5.533021112,5.783171763,5.352616626
114,E(bx),FBgn0000541,5.37959667,4.977520698,5.568571586,4.91398988,4.703157374,4.381418995
115,ecd,FBgn0000543,6.436820257,6.187723681,6.303325241,6.725981436,5.863874163,5.80268697
116,EcR,FBgn0000546,7.314925102,7.133111246,7.166326557,7.389651533,7.562086182,7.421097865
117,ed,FBgn0000547,4.314671551,4.370597002,5.547858041,4.571183895,4.428446494,4.354817555
118,Ef1alpha48D,FBgn0000556,8.847957838,8.80902143,8.607807385,8.201543678,8.369420796,8.387477468
119,Ef1alpha100E,FBgn0000557,12.6189707,12.49840034,12.23377586,12.66468315,12.81254069,12.86225612
120,EF2,FBgn0000559,10.36594192,10.17349664,9.988541217,10.02041305,10.4295187,10.28964812
121,egl,FBgn0000562,4.4969971,3.523722242,3.947020429,3.041497245,3.555577646,4.80850535
122,Eh,FBgn0000564,1.165233542,2.286952742,1.469060022,2.239981469,0.805406244,-0.143161469
123,Eip71CD,FBgn0000565,4.982916262,4.903398843,5.259460309,4.741230195,4.783040035,4.673561163
124,Eip55E,FBgn0000566,6.686524985,7.065227614,7.097147124,7.137424588,7.265463211,6.983391979
125,Eip74EF,FBgn0000567,2.919984058,3.632601575,3.357523597,3.087692778,3.685976541,3.508037663
126,Eip75B,FBgn0000568,8.525518939,8.240603281,8.347406732,8.830370387,8.757901405,8.656022364
127,emc,FBgn0000575,8.441094257,8.310895243,8.121560208,7.523812717,7.695916016,7.717278852
128,ena,FBgn0000578,6.760206496,6.786888616,6.742947194,6.494390984,6.411093648,6.663965308
129,Eno,FBgn0000579,9.383834345,9.275704301,9.122326067,9.085866148,9.133718563,9.231769824
130,E(Pc),FBgn0000581,5.781336609,5.408208613,5.670156906,5.462895892,6.315424046,6.050729884
131,exd,FBgn0000611,6.007374908,6.041114134,6.346296299,7.103257156,6.832281857,6.68699798
132,e(y)1,FBgn0000617,4.953262178,4.813745448,5.041449611,4.442001761,4.944926083,4.762985916
133,e(y)2,FBgn0000618,4.654756024,4.980098749,4.975461278,5.011872634,5.011261424,4.853989847
134,E(z),FBgn0000629,5.820187088,5.715665482,5.590184182,5.032094963,6.001540812,5.913598846
135,fas,FBgn0000633,6.606762102,6.500341344,6.863217088,7.510520422,7.357587587,7.280277446
136,Fas2,FBgn0000635,7.325894391,7.001624396,7.170317894,7.387113944,7.224106345,6.882577526
137,Fas3,FBgn0000636,7.312007451,7.097640902,7.18774977,7.55456554,7.608919941,7.764420391
138,Fbp1,FBgn0000639,-3.349234113,-2.767033656,0.980041932,-4.002720471,2.876307976,0.639967641
139,Fbp2,FBgn0000640,-4.002720471,0.441924029,0.858652928,-2.164078573,2.759091787,1.280150423
140,Fcp3C,FBgn0000644,2.061018625,1.229296542,1.008857829,2.668601087,2.508716628,2.078520115
141,fkh,FBgn0000659,2.799242626,1.841655041,3.178867644,3.636861469,2.205571531,0.828535237
142,fl(2)d,FBgn0000662,8.528175258,7.835886327,8.032931779,8.118311535,8.305844082,8.020541659
143,Actn,FBgn0000667,3.426196286,4.592367767,3.747748903,3.758937175,3.492171006,4.220243952
144,fliI,FBgn0000709,4.102926833,2.444596724,0.374082028,4.556476206,2.928337583,4.192613154
145,flw,FBgn0000711,5.190617769,5.527567241,5.250439372,5.237627554,4.598659816,5.098064515
146,fog,FBgn0000719,1.020227069,1.525990763,0.501208226,0.567811067,-0.14399429,-1.007067324
147,FER,FBgn0000723,5.133002854,4.279348402,4.248277417,4.487509322,5.122923529,5.063279358
148,fs(1)K10,FBgn0000810,1.020227069,2.652824476,2.226063042,0.541497485,2.623634535,4.302086857
149,png,FBgn0000826,0.740547525,0.855358807,0.618033949,0.716345841,0.056348366,0.562375797
150,tj,FBgn0000964,2.919984058,1.393016685,2.49406362,3.900243549,-0.654333047,-4.002720471
151,dup,FBgn0000996,3.435758657,0.380802036,2.648543404,2.342607374,2.559092002,0.26869191
152,ft,FBgn0001075,2.351097382,-0.742506492,2.0843414,0.739680157,0.74865668,0.26869191
153,ftz-f1,FBgn0001078,-0.363569895,1.1213329,0.889971067,0.342497591,2.02619472,0.639967641
154,fu,FBgn0001079,5.873053898,5.114060474,3.726220086,4.71792114,5.258668869,4.900713606
155,fy,FBgn0001084,3.807570052,4.010951245,3.323518598,3.753215917,2.856302717,3.081797655
156,fz,FBgn0001085,4.730521643,4.989085819,4.871430382,4.863104107,5.352107614,5.127547786
157,fzy,FBgn0001086,4.445860808,3.914512326,3.673201083,4.539956526,3.620274116,2.168552606
158,g,FBgn0001087,5.236476821,4.922289371,4.583695553,4.792338131,5.10749125,4.644047435
159,bnb,FBgn0001090,7.351695911,7.751069821,7.671649258,6.848090514,6.874335483,6.877246906
160,Gapdh1,FBgn0001091,9.447774233,9.689508149,9.737511705,9.462899838,9.514176257,9.693928821
161,Gapdh2,FBgn0001092,10.36429982,10.40075205,10.56066413,10.04535303,9.976865373,10.03752132
162,Gdh,FBgn0001098,10.38881417,10.28348023,10.03371506,9.926269535,10.2555944,10.02661555
163,gdl,FBgn0001099,2.458196439,2.716051321,2.274331286,2.466658869,1.87531974,2.720278037
164,Galphai,FBgn0001104,3.652185235,3.822698742,3.270959335,2.903678479,3.21161621,3.595035099
165,Gbeta13F,FBgn0001105,11.22389908,11.15594647,11.1606821,10.85920398,11.02213736,10.95338171
166,DCTN1-p150,FBgn0001108,2.899397826,2.48145593,2.820940851,4.604929735,1.464036261,4.057745342
167,Glt,FBgn0001114,2.410498217,0.832715091,1.426976087,2.387618233,4.479473484,2.659471146
168,Galphao,FBgn0001122,8.905867537,8.628125482,8.467100569,9.041372733,9.036041936,8.630308857
169,Galphas,FBgn0001123,6.501991998,6.459817555,6.048781029,5.813571589,5.788460077,6.076542286
170,Got1,FBgn0001124,7.492932978,7.700768607,7.719285859,7.119469492,7.451977817,7.079651437
171,Got2,FBgn0001125,5.658083549,5.398604786,4.908222603,4.797906623,5.122923529,5.214661063
172,Gpdh,FBgn0001128,5.435477563,4.891122999,4.98455697,4.975479707,5.093317202,5.269606048
173,grau,FBgn0001133,5.58046367,5.668494194,5.129366908,5.586283442,5.071791555,4.70549417
174,grk,FBgn0001137,3.758882072,4.008427789,4.375426705,2.019399554,3.136192396,3.231345333
175,gro,FBgn0001139,5.630244274,5.48645221,5.284717502,5.679728248,5.700494073,5.867297275
176,Gs1,FBgn0001142,7.291746132,7.107106635,6.991475393,7.157868088,7.220198234,6.972809726
177,Gs2,FBgn0001145,7.123331954,7.483810863,7.388172583,6.893985112,7.333067899,6.925173818
178,GstD1,FBgn0001149,7.434811341,7.86982036,8.047327076,7.27629187,7.790756109,7.406370004
179,gt,FBgn0001150,1.529104391,0.809710297,2.861003241,2.704621029,2.780481195,3.010549203
180,h,FBgn0001168,0.039052451,0.899607136,1.29281582,-0.347907738,-0.198750383,0.783653277
181,H,FBgn0001169,3.635685105,4.00083083,4.148216786,4.508038252,4.177488662,3.404380366
182,hay,FBgn0001179,5.483523199,5.076005429,5.39933712,5.009474793,5.669301513,5.684823174
183,hb,FBgn0001180,5.14033181,3.306747009,5.778716689,6.781843981,5.775202769,6.69497332
184,her,FBgn0001185,6.175183414,5.555493256,5.890362343,5.835396626,6.094135407,6.071299915
185,Hex-A,FBgn0001186,4.867540318,4.788964132,4.569258077,5.423813612,4.87539301,4.84718976
186,Hex-C,FBgn0001187,-4.002720471,-4.002720471,1.092005171,1.627465004,1.354204174,-0.721776736
187,hfw,FBgn0001189,2.723191781,2.15627457,1.037109421,2.949429142,1.549578856,2.720278037
188,His2Av,FBgn0001197,8.460839858,8.598755234,8.819320168,8.313660635,8.03871191,8.20763611
189,hook,FBgn0001202,5.836522276,5.440391536,5.553981192,4.71792114,5.006731058,5.263489873
190,Hmr,FBgn0001206,4.237495903,3.075574427,3.390745503,3.787208007,3.805560056,4.70549417
191,Hn,FBgn0001208,2.723191781,1.86415996,1.037109421,3.213856782,3.237625401,2.621717523
192,Hrb98DE,FBgn0001215,8.675312931,8.564593737,8.484356218,8.477358985,8.353898817,8.562078068
193,Hsc70-3,FBgn0001218,10.96623476,10.76539718,10.72431802,10.77733816,10.9402168,10.76964318
194,Hsc70-5,FBgn0001220,8.183679328,7.962851412,8.186258957,8.60929808,8.887275716,8.772581955
195,Hsf,FBgn0001222,7.146810342,7.021470879,6.42657849,7.134126576,7.998206497,7.128703235
196,Hsp23,FBgn0001224,10.99835106,11.11771458,11.27812649,11.37068613,11.0375336,11.30002965
197,Hsp26,FBgn0001225,11.72093495,11.92297838,12.13054424,11.32257221,11.25001787,11.37297684
198,Hsp27,FBgn0001226,10.040549,10.2424955,10.27712209,10.23646873,10.34941253,10.22416956
199,Hsp67Ba,FBgn0001227,9.095960528,8.871364879,9.005092796,8.980926534,8.861476263,9.081471985
200,Hsp67Bc,FBgn0001229,12.62065018,12.86314382,12.95550146,12.7482199,12.85477799,12.90483897
201,Hsp68,FBgn0001230,6.161561114,6.162977155,5.981318561,6.842039113,6.661228303,6.868542421
202,Hsp83,FBgn0001233,12.62421567,12.33092951,12.28759019,12.48800207,12.79578853,12.62477523
203,Hsromega,FBgn0001234,13.30563524,13.28150373,13.22241008,12.95010776,12.36588059,12.66281911
204,hth,FBgn0001235,9.826267476,9.814077913,9.908784379,10.35095408,10.13821942,10.37857755
205,Ide,FBgn0001247,6.168746777,6.133752247,5.720022012,6.371870618,6.614848756,6.439591176
206,Idh,FBgn0001248,9.417026215,9.372276179,9.183934484,9.372319754,9.583187912,9.157718725
207,if,FBgn0001250,-0.298705068,0.316975513,0.654964132,-1.19281754,2.909045702,-0.429843645
208,ImpE1,FBgn0001253,2.540270007,5.217096162,3.521481793,5.099030428,4.697546321,4.618716726
209,ImpE2,FBgn0001254,2.246314925,1.961301232,2.111166142,1.242666963,-0.441272957,2.096981712
210,ImpL1,FBgn0001256,1.598859456,2.375779846,1.064818384,2.357767564,3.604369953,3.210301758
211,ImpL2,FBgn0001257,3.445258065,3.27350507,5.184083932,1.781557497,1.940112144,1.722025171
212,inaD,FBgn0001263,-3.349234113,-0.962473926,0.133618345,1.847481301,-0.314921537,2.031305316
213,ix,FBgn0001276,4.038488907,4.266733935,4.26330351,4.603340563,4.368503349,5.093474668
214,janA,FBgn0001280,6.348454807,6.514637893,6.913612431,6.986803456,6.897768713,6.923235273
215,Jra,FBgn0001291,4.795095678,4.637159375,4.94036501,4.735438142,4.900031174,4.711497319
216,kar,FBgn0001296,3.387300104,2.794309679,2.693612247,1.88981429,4.273643151,2.142127849
217,kay,FBgn0001297,6.832118518,6.225695672,6.679950979,7.285735368,6.714058568,7.455485497
218,kel,FBgn0001301,7.645716062,6.78394074,6.043568245,7.649250338,8.255815245,7.519117176
219,Khc,FBgn0001308,6.592405462,6.452410115,6.694436172,5.959836806,6.160218728,6.03046274
220,kkv,FBgn0001311,-3.349234113,3.648895503,2.000738112,3.900243549,4.840177027,0.393425663
221,klar,FBgn0001316,6.365440873,6.405231482,6.197000854,6.862776841,6.303160593,5.914249648
222,kn,FBgn0001319,8.912517522,8.852846377,8.657704742,10.21054245,10.46528291,10.48192756
223,knk,FBgn0001321,4.173209651,4.496583987,3.838835489,3.254923542,3.584239981,3.934845365
224,kto,FBgn0001324,4.187430647,4.787493066,2.829042823,3.882008663,4.051188223,3.473128692
225,Kr,FBgn0001325,4.638285438,4.366661737,3.100712834,4.772677387,3.337212342,3.990215226
226,l(1)1Bi,FBgn0001341,3.08098989,2.466825058,2.728680292,2.164398998,2.542494889,2.21999299
227,egh,FBgn0001404,7.226444697,7.306179018,7.305661385,8.124972491,7.837212592,8.03826339
228,l(1)10Bb,FBgn0001491,4.91103783,5.284348729,5.190386896,5.589497774,4.986933398,5.448287016
229,Hlc,FBgn0001565,5.272943014,5.561530677,5.465797751,5.06479654,5.121527396,4.802893347
230,Grip91,FBgn0001612,1.417708981,3.021537188,3.947020429,3.595893521,3.517869025,3.210301758
231,dlg1,FBgn0001624,7.636675369,7.96073189,8.214559224,8.252367454,7.878711649,8.009011317
232,ifc,FBgn0001941,4.535306255,4.887007729,4.239186063,4.20899865,4.188198132,3.692340714
233,eIF-4a,FBgn0001942,10.16501561,10.1427614,9.957754565,9.791501677,9.965432212,9.802361635
234,Arpc1,FBgn0001961,7.182037076,6.967278349,6.88037433,7.2620097,7.238668194,7.005853805
235,Sos,FBgn0001965,7.020642373,6.844261745,7.308923707,7.613185122,7.853703492,7.537608632
236,Pgant35A,FBgn0001970,3.105161737,2.437110514,2.974918854,3.322161307,2.863002007,3.005671828
237,l(2)35Bd,FBgn0001974,5.924051717,5.900534194,5.343872286,5.663806212,5.389708969,5.754075339
238,CIAPIN1,FBgn0001977,5.160657003,5.156845618,5.185662256,4.856448545,5.005217769,4.749920482
239,stc,FBgn0001978,3.585021294,2.606856929,3.599334942,4.837647949,3.853443296,3.962795912
240,esg,FBgn0001981,2.667465533,-0.493299554,2.853079269,4.089218347,4.594640329,4.392671154
241,l(2)35Df,FBgn0001986,4.314671551,3.799532381,3.417857739,2.944416795,3.666960951,2.872701683
242,ND-B17,FBgn0001989,6.090694301,6.397537639,6.703278384,6.579700466,6.484069611,6.458454351
243,wek,FBgn0001990,3.163876761,2.600168922,4.040695624,3.91569208,4.182853334,3.437354037
244,Ca-alpha1D,FBgn0001991,4.269932853,4.554813871,4.653792114,4.519879932,4.188198132,4.375759833
245,crp,FBgn0001994,7.337737548,7.107990872,6.637909575,6.900146564,6.812950271,6.590947951
246,mRpL4,FBgn0001995,5.832908185,5.797602696,5.793283525,5.891815384,5.556040264,5.474999513
247,l(2)37Bb,FBgn0002021,5.286218482,4.829556528,4.85961411,4.762745619,4.853694195,4.370078385
248,Catsup,FBgn0002022,5.948472712,6.171461245,5.578217178,6.016460254,5.817204296,6.025049907
249,Lim3,FBgn0002023,2.023461092,2.253246163,2.124393764,0.248023002,-3.37950942,2.696261944
250,l(2)37Cc,FBgn0002031,7.764541908,7.78611278,7.88752782,7.748563576,7.973655436,7.649518949
251,CG10561,FBgn0002036,5.149077693,5.322432683,5.174577552,4.434871416,4.680581023,5.046754727
252,swm,FBgn0002044,6.147808962,5.662086527,6.204026723,6.994704776,7.229300747,7.051530654
253,AspRS,FBgn0002069,6.529046015,6.241898531,6.309129206,5.868189169,6.654969001,6.494151244
254,l(2)tid,FBgn0002174,8.044520986,8.010602649,8.027441286,7.761624054,7.84442412,8.074814292
255,dre4,FBgn0002183,3.739709524,4.346822769,4.692052124,3.041497245,4.488166398,4.014697583
256,l(3)73Ah,FBgn0002283,5.468461744,5.514288483,5.242878596,5.235577293,5.727359802,4.978695819
257,Prosbeta6,FBgn0002284,6.840691925,7.109757721,7.240715429,7.141536529,7.185542982,7.1384837
258,l(3)87Df,FBgn0002354,3.86177976,4.487552597,4.794905482,4.302065142,3.693513149,3.970325737
259,dco,FBgn0002413,4.330136179,4.161639127,4.386448793,4.623864492,4.027529722,4.149043212
260,hyd,FBgn0002431,9.637631456,9.64978179,9.448192901,10.02427814,10.02806065,9.772254713
261,l(3)mbt,FBgn0002441,4.642420747,4.077467766,3.747748903,3.761789319,3.812498591,3.677083438
262,pho,FBgn0002521,4.606886922,4.642051452,4.456110166,3.773141839,2.420639982,3.8228477
263,lace,FBgn0002524,4.606886922,4.310410297,4.138470293,4.047754008,3.950992602,3.754715589
264,Lam,FBgn0002525,6.512761622,5.965722857,5.606772956,5.75250949,5.402411365,5.579625825
265,robo2,FBgn0002543,7.528279357,7.103564259,7.213895684,6.417348629,6.715910046,6.545043068
266,lin,FBgn0002552,3.957824513,4.74568216,3.893941794,5.069408266,4.701289447,4.57328876
267,Lsp1beta,FBgn0002563,-0.363569895,-4.002720471,0.282647923,0.668513508,0.988101941,0.737330092
268,Lsp1gamma,FBgn0002564,-2.901117765,0.283971128,-4.002720471,-1.19281754,2.429693589,2.66566847
269,Lsp2,FBgn0002565,1.83397494,-1.043938746,3.396208865,1.105699939,2.990842047,2.563167423
270,lt,FBgn0002566,6.075481837,6.781356399,6.395545321,6.555660618,6.561275642,6.223460931
271,Rab32,FBgn0002567,4.844392467,5.643504357,5.106218944,5.095643364,4.667246466,5.167400912
272,RpL36,FBgn0002579,7.181681929,7.428727235,7.607743753,7.688563632,7.47375226,7.581085428
